0.936133,6.336854,8.701127
1.008557,6.341642,8.553286
1.043273,6.351219,8.476072
1.059434,6.350021,8.386888
1.069011,6.260239,8.341997
1.202488,6.153099,8.307282
1.218050,5.976526,8.434174
1.213860,5.776012,8.704121
1.240795,5.594651,8.971672
1.248576,5.436035,9.142858
1.182736,5.299565,9.130887
1.121684,5.228937,8.975264
1.074398,5.230133,8.651448
1.054047,5.288792,8.164826
1.054047,5.336676,7.647080
1.068412,5.403115,7.277775
1.071405,5.480926,7.068881
1.064223,5.480328,6.954557
1.096544,5.443816,7.168240
1.116895,5.276222,8.110358
1.025317,5.139752,7.709928
1.037886,4.995502,8.065467
1.264737,4.964976,8.388085
1.326388,4.890756,8.575432
1.413178,4.875193,8.474277
1.527501,5.024831,8.110957
1.552640,5.158906,7.610569
1.635838,5.316325,7.247847
1.738789,5.516241,7.076662
1.801038,5.702989,7.143101
1.715445,5.877765,7.260416
1.487398,6.014234,7.405266
1.268927,6.112397,7.628525
1.116895,6.172851,7.983466
1.115698,6.192004,8.273763
1.072004,6.140529,8.476072
0.951695,6.048352,8.716091
0.832584,6.000468,8.854357
0.764947,5.957372,8.873510
0.693720,5.923853,8.789713
0.670377,5.911284,8.578424
0.652420,5.950788,8.359954
0.639850,5.965752,8.134899
0.658405,5.993285,7.884106
0.745195,6.010045,7.791331
0.800860,5.998074,7.732673
0.793678,5.951387,7.741651
0.760758,5.921459,7.862558
0.702100,5.902306,8.027759
0.691326,5.910685,8.078635
0.684143,5.916671,7.921815
0.661398,5.959766,7.852383
0.643442,5.993884,7.866150
0.653019,5.995081,7.808689
0.337582,5.989694,8.824429
0.788889,5.972935,6.539164
0.569221,6.218939,5.456386
0.445920,6.216545,6.979098
0.684742,6.227319,7.447763
0.560842,6.205172,8.346786
0.667982,6.135142,9.395446
0.999579,6.115390,9.372701
1.158794,5.959168,8.898050
1.221043,5.942409,8.425795
1.250970,5.978322,7.985860
1.295263,6.010045,7.687183
1.309628,6.127361,7.598598
1.337162,6.270414,7.448361
1.329979,6.442797,7.241263
1.249773,6.628946,7.046135
1.101931,6.749853,6.877943
0.996586,6.875549,6.877943
0.971447,6.903082,6.886323
0.900220,6.916250,6.977901
0.869694,6.889914,7.164649
0.894234,6.827066,7.417237
0.890643,6.695385,7.613562
0.955287,6.584653,7.718307
0.960673,6.469731,7.703344
1.001973,6.394314,7.669227
1.090559,6.372767,7.694964
1.214459,6.363190,7.697957
1.225831,6.396708,7.728483
1.189918,6.461950,7.775769
1.169568,6.522404,7.845200
1.149815,6.579266,7.946355
1.074997,6.642114,7.966706
1.045069,6.679224,7.982268
0.966659,6.659472,8.055291
0.872088,6.642114,8.088810
0.840963,6.629545,8.076241
0.869694,6.576273,8.029554
0.854730,6.561908,8.101978
0.723647,6.549937,8.198944
0.439336,6.579266,8.361151
0.164601,6.680421,8.512584
0.012570,6.766014,8.513782
-0.038307,6.865972,8.415619
-0.019752,6.973113,8.077438
0.110732,7.073071,7.538742
0.184354,7.180809,7.161058
0.235230,7.183204,7.036559
0.277129,7.240066,7.161656
0.281917,7.271191,7.080852
0.367510,7.178415,6.806117
0.476446,6.994062,6.941988
0.237026,6.943783,7.402872
-0.128090,6.701371,7.852982
-0.300472,6.587646,8.497621
-0.445322,6.387132,8.950125
-0.468066,6.120777,9.249998
-0.399832,5.883750,9.229648
-0.371101,5.701791,9.085996
-0.280720,5.596446,8.853159
-0.149039,5.533000,8.646660
-0.014365,5.499481,8.483853
0.025139,5.495890,8.465299
-0.107739,5.487510,8.422203
-0.273538,5.525219,8.254010
-0.403423,5.579089,7.936180
-0.535703,5.583877,7.486669
-0.738013,5.571906,6.536769
-0.763152,5.701193,6.313510
-0.776918,5.710770,6.229713
-0.888847,5.866393,6.417059
-1.004368,6.074090,6.834848
-1.085172,6.274604,7.267001
-1.286883,6.358401,7.666832
-1.535282,6.461950,7.988853
-1.743577,6.493075,8.143877
-1.865083,6.550536,8.312070
-1.725621,6.577471,8.482059
-1.372476,6.503849,8.576629
-0.907402,6.369773,8.510789
-0.605733,6.202179,8.514380
-0.620098,6.202179,8.855554
-0.514155,6.117784,8.758589
-0.686537,5.904101,8.634089
-0.916979,5.920262,8.294113
-0.973842,5.880159,7.978079
-0.930746,5.759252,7.706336
-0.746392,5.810728,7.473501
-0.709282,5.829881,7.181408
-0.864307,6.053141,6.661866
-0.981623,6.382343,5.930438
-1.201889,6.693589,4.718972
-1.568801,6.885126,4.745308
-1.077989,7.162853,4.260482
-0.902015,6.839037,5.150526
-0.891242,6.833052,7.066486
